STATE,AGI_STUB,A00200,A00300,A00600,A00650,A00900,A01000,A01400,A01700,A02300,A03300,A03270,A03150,A03210,A03240
US,0,7070643171,94128066,255749188,199182744,337532000,694508609,250369463,683514468,27669364,24029003,29163828,12926236,13213963,12957112
AL,0,80343912,793851,1751662,1378445,3132672,4338380,2802839,10093717,174095,157409,310440,124310,141660,132231
AK,0,17646819,148731,385368,292322,911524,826542,458822,2025773,237252,57691,67750,29571,31697,33926
AZ,0,120495639,1568623,3865224,2885681,5430798,9287564,5688614,14367100,302462,306904,491393,215547,238539,162701
AR,0,46043904,484500,3710698,3508830,1864974,2562096,1658722,5018595,208178,63412,170076,85639,86982,108348
CA,0,950334958,12909072,35001272,26812435,56719948,118550004,27274714,77908070,5244010,4480134,4108145,1893085,1138009,1582365
CO,0,130372275,1879484,4481471,3364938,6512916,14626941,4584240,12325959,441649,403676,720896,270771,308641,274385
CT,0,111714997,1984241,5655590,4397754,6464621,14695916,3988108,8976110,578647,657295,493121,186343,174539,129071
DE,0,20032968,179992,693504,562475,702308,1172202,958570,2784726,76631,54980,70778,33643,37135,21399
DC,0,22124736,215241,878882,679779,1277695,3205525,451361,1752296,47878,208385,69489,20517,50445,12373
FL,0,377515978,8845187,23589269,17940605,18301637,64976938,21083038,47324228,578583,812208,1743214,806609,642582,931609
GA,0,195304652,1666164,5600781,4543843,6978856,12847247,6022786,18961663,359033,521905,681728,320698,366003,297445
HI,0,29216879,288279,834221,639631,1749553,2146273,1046096,3940056,125610,120822,122284,65414,47029,23131
ID,0,27218987,400455,743422,566437,1246384,2355733,1106928,3186927,126765,65347,172223,80674,68637,110985
IL,0,307574609,4330659,11377604,8565349,12065049,31743325,11239356,30656464,1436258,1112651,1240071,550725,599852,580100
IN,0,126995885,1008789,2825745,2186973,4566582,6285879,4862682,11620091,288972,278402,527329,215530,310804,319449
IA,0,62286363,779706,1591482,1217080,2399359,3619987,2301111,5690498,330296,181385,419556,147640,191899,219833
KS,0,58433144,683053,2023858,1650717,2578077,4500273,2386957,5322911,177820,184308,349629,114726,138496,151786
KY,0,74374978,600691,1908024,1578763,3136987,4359748,2575520,8860271,295636,160037,283718,119416,159388,116487
LA,0,81797004,783831,1853716,1424643,3677056,4708904,2617333,8159996,182316,234417,344444,135351,132583,138462
ME,0,24948318,247577,854039,683753,1526252,1619922,1145078,2843266,113294,76826,135502,85206,75644,34000
MD,0,161220841,1363001,4421531,3437004,6438808,9642583,4757171,17841028,461759,706844,533041,241905,248252,152645
MA,0,204468577,2578449,8088376,6252500,10945361,25990719,6678261,14685250,1210666,903026,855653,310805,401469,350750
MI,0,194038153,2105930,6025904,4700255,8167692,11120042,8776169,23440484,798684,480798,698355,378918,453910,484037
MN,0,137712339,1430856,3902278,3043834,5325461,10617249,5069703,11150895,632598,411091,707752,275002,370128,462046
MS,0,43630324,370526,787613,626461,1939822,1710001,1294398,5347238,108552,95737,186538,77921,73506,60312
MO,0,114572046,1205495,3961570,3260154,4780893,7827246,4659179,12647874,341628,299201,544971,212238,277019,201227
MT,0,17856969,293801,740091,557897,984084,1865888,780301,2271565,101126,52384,147144,67464,50255,60305
NE,0,39140074,446746,1200283,968930,1406605,3121807,1372364,3100844,76376,104867,272883,105679,105541,123239
NV,0,55083849,1049194,2730833,2234169,2221311,7157368,1999765,6779545,308807,112512,185066,93688,82663,109627
NH,0,35924508,384523,1179970,914437,2256126,2830692,1450302,3092329,114759,135108,162643,77247,91582,36708
NJ,0,265682291,3180987,8458583,6359777,13104714,18316620,8457135,20662675,1616094,1205992,1095860,450477,406510,264069
NM,0,32356179,380978,883551,666603,1435515,1894718,1291824,5186575,152754,68892,124292,66725,60562,51156
NY,0,516838658,11011138,24226454,18256383,27406523,81428731,15255823,44794638,1596203,2596519,1876862,965084,895544,701221
NC,0,188278619,1894426,5521271,4387753,7822003,13321250,7311138,19575722,302478,509130,830424,347333,352113,358984
ND,0,17226172,216445,357718,260238,727348,1332552,462679,1093995,63288,62139,143352,42634,49407,90964
OH,0,230860704,1889053,6803446,5469100,10070815,12690041,9199043,27883430,822375,642615,799162,380339,586025,441024
OK,0,67199954,733920,1641687,1332462,2873871,5501112,2359429,6826004,259223,104788,297468,108005,124871,151596
OR,0,79901338,1009593,2674445,2061131,4350068,7172042,3641900,9384873,458377,289911,442730,214357,201796,186450
PA,0,284404481,3338554,9391881,7296966,13192851,23346621,11863533,28385405,1933789,880182,1224556,546361,742317,492085
RI,0,23998515,280955,701902,547305,1208384,1523862,828218,2347283,170723,78178,112785,47965,54022,36923
SC,0,83009443,740490,2504190,1971417,3549392,5440814,3963348,10767458,179481,192356,325373,147421,180467,117945
SD,0,16085521,273805,474386,342637,773624,1816820,572476,1662938,30308,52182,173744,51168,55372,92492
TN,0,122109394,1257461,2885886,2199668,8637110,8701532,4125094,12013986,212192,441898,512837,190366,236441,129607
TX,0,587955029,7312002,18867926,15218192,29212964,54941578,17055539,43437795,2144283,1541172,1849640,814436,931728,975602
UT,0,57846315,690342,1245218,932300,1659996,4246106,1550691,5027332,145507,90897,223013,107396,102427,156660
VT,0,13013526,156589,659235,528365,821275,1268783,586253,1286010,63115,48810,78360,51346,44380,29122
VA,0,208640763,1887928,6325053,4971406,8203638,14088628,6596954,24279403,326984,816397,742647,328837,358439,206556
WA,0,180582917,2319281,8244714,6730042,8408825,20862682,6442230,16262900,866516,521644,757704,327958,308458,426954
WV,0,28516229,235171,535750,432576,1193014,1182533,967951,3865181,204633,72752,85200,50087,61542,20460
WI,0,123863794,1219334,3582980,2821479,4484668,8386316,5548596,12129384,528991,272690,527823,267054,304565,447710
WY,0,12709806,366851,1072650,897659,518707,2603735,469194,1321136,60826,26498,83666,29888,22697,56240
OA,0,61138838,2706116,6025981,4623191,2167284,14128539,729927,3144576,50884,73599,40498,48717,39391,102310
