,2014,2015,2016,2017,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Single,69579590,71086947,71410690,73021932,72028792,71924422,73183813,74331876,75333822,76224441,77122018,77984804,78861507,79745168,80635787,81540322,82451814,83377223,84309589,85248914,86209112,87169310,88150383,89131455,90133401
Joint,55128595,57272012,57201828,57987204,57069122,56986429,57984256,58893878,59687730,60393376,61104535,61788129,62482750,63182883,63888529,64605200,65327385,66060595,66799319,67543555,68304329,69065104,69842417,70619730,71413582
HH,22077498,22134303,21659639,21894095,22854626,22821510,23221112,23585391,23903307,24185899,24470699,24744460,25022636,25303020,25585612,25872620,26161835,26455466,26751304,27049351,27354020,27658689,27969982,28281275,28599191
SS_return,27401498,28087514,28329015,28967603,31684352,32736570,33818929,34953351,36139836,37386604,38614191,39891101,41154310,42384637,43664287,44875433,46007115,47097695,48141692,49089784,49843325,50509181,51128455,51758690,52484829
Dep_return,96916673,96505181,94809260,94708629,99911398,100735190,101549290,102373082,103187182,104001282,104805690,105610099,106414507,107209224,107984557,108759890,109525532,110281482,111018049,111744924,112452416,113150216,113828632,114487666,115137008
INTS,156367939,95881223,96640233,106055367,124828526,125813644,138072890,143545768,146829495,146407301,134695343,144655980,157571972,175945205,192488933,201542637,213364053,231127451,248155919,263292336,278288021,293580805,307075359,322555785,337786022
DIVS,254702232,260252720,254065327,282336042,340613295,332513764,369521998,401130545,421201081,463481652,543865676,577588252,589126263,636933872,674222278,713370011,743246583,770678014,802108269,834455452,867413921,901111027,935674119,971281492,1007958613
SCHCI,374659000,391975736,389078638,416010104,435503622,432281554,462216808,485895257,491852335,503691560,528568917,538722176,565510295,618974134,645574923,673749280,699638217,724328245,748681080,773333642,799260045,827322004,858493633,891650954,925407730
SCHCL,57400238,60161435,60996610,69637956,63668344,64552308,73696166,77467361,78425945,80308673,84275029,85893716,90164294,98688229,102930107,107418805,111551623,115489279,119369535,123301451,127434268,131911487,136882348,142163169,147541572
CGNS,705007630,713598090,634341278,859894631,1249696525,1110880523,1505896298,1631599158,1522675479,1983609468,3582355270,2216825992,1630541647,2364595591,2497983035,2427270769,2360929551,2361775560,2406896049,2473660271,2553960640,2645259129,2742550181,2844000779,2950104428
Pension,663223262,689991999,693626543,729187412,776568117,800178866,846471849,889515039,925594384,996293984,1075416519,1097236565,1154340088,1239696921,1300647139,1361928969,1422348608,1487543454,1553932103,1620785008,1687770557,1757210033,1828705500,1903251795,1981578462
SCHEI,846331543,891134646,882933054,973306129,1140431754,1129937243,1245546132,1348629314,1385360103,1322308403,1710012883,1940553595,2074951044,2221112501,2278747680,2301090832,2309384881,2305407123,2319879393,2380222832,2482459682,2598068571,2711053832,2821923264,2937108987
SCHEL,166947674,177896945,176446339,206369393,169401805,168032834,196514107,212774811,218567895,208634508,269787441,306182034,327384389,350423168,359521816,363044412,364363299,363728897,366016080,375532098,391675938,409906624,427736636,445216057,463396659
SS,575126918,605152093,619856114,644989570,709246515,726500323,755946821,795975655,848657280,898463271,939067232,1016191751,1138003633,1234049828,1311634449,1389794197,1470139428,1555315724,1643310143,1733317505,1824417609,1916150353,2012484111,2113648936,2219932391
UCOMP,33288898,27225383,25420264,23946035,9810238,9161105,8628482,7962704,7490002,7746327,66767543,10193061,7633144,9600518,11041927,12180408,12736332,13235666,13651777,14094519,14567222,15036595,15482666,15925409,16398111
wage1,114320683,112017897,111270085,107376379,132211870,134189618,140763057,147839507,154870229,157088051,171298111,184639335,196277181,206234512,216317596,226274928,235820705,245778036,255872553,266024229,276415979,287104963,298011156,309351768,321081070
wage2,261995646,261659142,253415638,247511878,302997965,307530489,322595239,338812769,354925502,360008217,392574276,423149168,449820325,472640145,495748161,518567982,540444619,563264439,586398655,609663868,633479272,657975865,682970250,708960218,735840971
wage3,381259619,383184602,382875414,382789227,440926749,447522541,469444969,493044939,516492406,523888842,571279413,615772411,654584640,687792353,721419451,754627164,786462342,819670055,853335279,887191133,921847633,957495407,993867575,1031688529,1070805766
wage4,418567676,428313928,436140082,441282302,484073517,491314738,515382379,541291719,567033631,575153844,627181806,676028654,718638843,755096088,792013757,828471001,863421402,899878647,936838172,974006982,1012054784,1051190862,1091122218,1132644131,1175589175
wage5,418379915,424369612,426147995,437485582,483856372,491094344,515151189,541048906,566779271,574895841,626900465,675725401,718316476,754757367,791658475,828099366,863034089,899474979,936417926,973570062,1011600796,1050719319,1090632762,1132136050,1175061829
wage6,916618937,952347137,962308451,1000500360,1060069801,1075927308,1128632897,1185371609,1241743674,1259526081,1373461815,1480431245,1573743053,1653580562,1734426353,1814263862,1890801543,1970639053,2051576505,2132972266,2216292928,2301996798,2389442245,2480370844,2574415946
wage7,840581301,835434509,852517230,870406373,972132275,986674331,1035007756,1087039738,1138735488,1155042766,1259527021,1357622859,1443194036,1516408667,1590547938,1663762569,1733951108,1807165739,1881389068,1956032687,2032441528,2111035879,2191227335,2274613001,2360856642
wage8,3433224075,3714896131,3792750634,4090211841,3970523643,4029918419,4227328804,4439845374,4650988654,4717593201,5144342954,5545000204,5894502414,6193536231,6496346595,6795380412,7082054622,7381088439,7684242125,7989112423,8301192491,8622198942,8949728519,9290304347,9642553137
