,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GDP,14718.6,14418.7,14964.4,15517.9,16163.2,16800,17348.1,18036.7,18624.5,19519.4,20580.3,21440,20298.8,21372.5,22286.6,23237,24289.4,25400.7,26559,27751.9,29003.7,30316.7,31552.9
TPY,12429.6,12087.5,12429.3,13202,13887.7,14166.9,14694.2,15458.5,15928.7,16878.8,17819.2,18625.6,19354.1,18224.6,18282.9,21865.5,22760.4,23700.3,24682.1,25707.2,26789,27909.6,29089.8
Wages,6531.9,6251.4,6377.5,6633.2,6932.1,7124.7,7477.8,7854.8,8085.3,8462.1,8888.5,9324.1,8733.2,9158.7,10595.3,10988.8,11387.9,11789.6,12208.5,12666.4,13148.7,13628.9,14107.4
SCHC,979.5,937.5,986.7,1068.1,1187.9,1253.5,1268.5,1336.8,1298.7,1480.1,1561.6,1627.9,1488.9,1584.4,1821.4,1885.1,1947.4,2015.3,2088.9,2168.5,2249.9,2333.6,2420.6
SCHF,47,35.5,46,75.5,72.3,83.2,78.1,40,43.2,38.1,27.2,30.5,28.1,30.4,35.8,39.4,42.6,45.4,47.9,50.6,53.6,57,60.6
INTS,1361.6,1264.3,1195,1231.6,1255.9,1255.2,1302,1302.8,1415.3,1551.6,1702.7,1723.4,1629.6,1560,1779.1,1866.9,1983.8,2122.7,2257.1,2385.3,2510.9,2632.2,2751.4
DIVS,805.4,553.7,544.6,682.2,832.7,824.5,815.5,951.1,962.5,1130,1227.5,1273.9,1060.4,851.1,1424.1,1474.8,1531.5,1590.8,1648.7,1708.1,1772.9,1843.9,1925.7
RENTS,262.1,333.7,402.8,485.3,533,595.8,610.8,659.6,707.4,718.8,756.8,776,799.5,771.8,876.8,903.4,914.8,925.4,946.1,973.8,1004,1036.5,1073.9
CGNS,498,264,394,404,647,511,716,725,641,871,964,1036,1016,1012,1007,989,988,997,1016,1043,1074,1108,1146
BOOK,1285.1,1397,1746.4,1816.6,2022.8,2106.9,2072.9,2088.1,2073.5,2006,2074.6,2082.6,1905.2,2291.8,2434.3,2545.7,2661.6,2753.6,2856.5,2970.9,3074,3198.9,3343.3
RETS,142.5,140.5,142.9,145.4,144.9,146.6,148.3,147.8,149.7,149.9,152.5,153.6,155.1,156.6,158,159.5,161,162.4,163.9,165.4,166.9,168.4,169.9
SOCSEC,503,544.5,572.5,591.5,627.2,663.2,698.2,733.7,762.1,791.1,833,887.2,940.5,1000.8,1066.6,1136.7,1211.4,1289.3,1370.8,1456.8,1550.2,1649.6,1755.4
CPIU,215.3,214.5,218.1,224.9,229.6,233,236.7,237,240,245.1,251.1,255.7,258.314,262.015,266.918,272.662,278.786,285.083,291.436,297.895,304.485,311.219,318.114
CPIM,364.1,375.6,388.4,400.3,414.9,425.1,435.3,446.8,463.7,475.3,484.7,498.4,511.6,470.1,477,483.8,490.6,497.2,503.9,510.7,517.6,524.7,531.9
UCOMP,51.1,131.2,138.9,107.2,83.6,62.2,43.8,39.9,31.2,31.1,28.7,27,27.3,29.2,33.5,41.9,46.3,47.1,49.8,51.4,53.1,55.1,56.7
