,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
US Population,311721632,314112078,316497531,318857056,321368864,323995528,326625791,329256465,331883986,334503458,337108968,339698079,342267302,344814299,347334912,349825585,352281475,354698370,357072830,359402194,361684740,363919527,366106294,368245560
POP_DEP,82840576,82503131,82296428,82135602,82109509,82178228,82284937,82410728,82547300,82624346,82772040,83023463,83259014,83463249,83673850,83868421,84024180,84193698,84484144,84767392,85040759,85334627,85631465,85903535
POP_SNR,41366628,43164909,44723041,46243211,47830245,49420383,51055052,52766466,54556914,56441027,58292098,60221375,62126945,63987872,65919552,67748101,69455598,71098995,72675827,74107408,75245391,76250731,77185290,78138264
Single Returns,67294506,66655855,68563354,69579590,71086947,71410690,73021932,74164397,75166909,76052548,76951274,77812834,78684040,79565000,80455824,81356621,82267505,83188586,84119980,85061802,86014169,86977199,87951011,88935726
Joint Returns,56013790,56458434,56796607,55128595,57272012,57201828,57987204,58894443,59690545,60393837,61107520,61791691,62483522,63183098,63890507,64605837,65329175,66060612,66800238,67548145,68304426,69069175,69842485,70624454
Head of Household Returns,22061944,21814184,21991339,22077498,22134303,21659639,21894095,22236639,22537222,22802762,23072226,23330546,23591759,23855897,24122992,24393077,24666186,24942353,25221612,25503998,25789545,26078289,26370266,26665512
Number of Returns w/ Gross Security Income,25837226,26480552,27070833,27401498,28087514,28329015,28967603,29938625,30954489,32023496,33073756,34168389,35249571,36305423,37401419,38438901,39407700,40340131,41234793,42047043,42692712,43263121,43793371,44334069
Number of Dependent Exemptions,99345455,97912393,97691386,96916673,96505181,94809260,94708629,94853412,95010605,95099283,95269277,95558660,95829776,96064847,96307245,96531193,96710470,96905582,97239881,97565894,97880535,98218773,98560428,98873577
Taxable Interest Income,120111673,111789613,100648711,93894280,95881223,96640233,106055367,110260987,112787090,112466207,103467818,111114401,121034476,143141292,167958548,181701914,188829622,198619978,208150897,219525188,231985021,244984211,256918341,270586607
Ordinary Dividends,194609806,260393306,214972683,254702232,260252720,254065327,282336042,306497844,321831296,354136702,415543874,441319724,450123620,470152482,493702903,512337815,527182162,543762832,564843271,587024197,609816504,633220194,657259720,682057359
Business Income (Schedule C),337210620,356450905,357363490,374659000,391975736,389078638,416010104,437315586,442705788,453344344,475727866,484891210,508976901,535615846,557063175,582538971,606567924,628979816,651703772,675136965,699704938,725889971,754372932,783763717
Business Loss (Schedule C),54240803,52259366,55290946,57400238,60161435,60996610,69637956,73204384,74106676,75887516,79634403,81168300,85200121,89659343,93249516,97514034,101536357,105287993,109091866,113014462,117127015,121510255,126278157,131198023
Net Capital Gains in AGI,402566646,644856734,504322768,705007630,713598090,634341278,859894631,931642984,869467657,1132676539,2045568233,1232749206,1341407991,1411675979,1368153250,1313577131,1298576099,1308543890,1335979986,1374173401,1419176494,1468818064,1521815128,1577772922
Taxable Pensions and Annuities,581180358,612544219,638659076,663223262,689991999,693626543,729187412,766221903,797310451,858236906,926411874,945154148,994383451,1058646386,1121736577,1173337333,1221575645,1273163420,1327044753,1383431692,1441804940,1502748705,1565540300,1632075157
Supplemental Income (Schedule E),661331485,777023944,780713118,846331543,891134646,882933054,973306129,1053816820,1082528185,1033289108,1336221440,1466977019,1489516355,1566643859,1621140590,1644868613,1676368821,1698588126,1733425801,1786139502,1846259637,1912551801,1979712621,2049067941
Supplemental Loss (Schedule E),175315530,163765597,167171652,166947674,177896945,176446339,206369393,223440016,229527666,219087541,283318063,311042074,315821073,332174362,343729264,348760300,355439266,360150409,367537016,378713864,391461092,405516972,419757032,434462390
Gross Social Security Income,490699539,526514454,553542772,575126918,605152093,619856114,644989570,679150944,724074374,766551882,801202440,866997736,970949411,1052887790,1119090739,1185782873,1254350213,1326994089,1402083888,1478885831,1556584613,1634854109,1717037081,1803378119
Unemployment Compensation,92383693,71234134,51923279,33288898,27225383,25420264,23946035,22098109,20789162,21501384,185297653,28290970,21182616,26640926,29104827,31799719,34571607,36881514,38652442,40115383,41501328,42810275,44042225,45351172
Wages and Salaries: Zero or Less,21437416,20445434,20280688,19421543,20111022,20544631,20869123,21917664,22959310,23289042,25394990,27373379,29097882,30728317,32133431,33463931,34768574,36111387,37512561,38949934,40422768,41929584,43476047,45078655
"Wages and Salaries: $1 Less Than $10,000",92961755,93108807,94466204,94899140,91906875,90725454,86507256,90853698,95171558,96538370,105268001,113468873,120617330,127375853,133200371,138715595,144123638,149689901,155498086,161456325,167561555,173807651,180218091,186861267
"Wages and Salaries: $10,000 Less Than $20,000",265080549,262184682,266041138,261995646,261659142,253415638,247511878,259947782,272301910,276212590,301189540,324653620,345106565,364443841,381108770,396888759,412362084,428288103,444906303,461953830,479421924,497293060,515634413,534641661
"Wages and Salaries: $20,000 Less Than $30,000",373549061,371577702,380567075,381259619,383184602,382875414,382789227,402021961,421128224,427176282,465804357,502092705,533724184,563630228,589403356,613807880,637738135,662368502,688069361,714434196,741449458,769088044,797453843,826849483
"Wages and Salaries: $30,000 Less Than $40,000",410623212,408353008,408654349,418567676,428313928,436140082,441282302,463453943,485479786,492452033,536982768,578816249,615281257,649757169,679468625,707602344,735189322,763583394,793211538,823605119,854748515,886610486,919310792,953198307
"Wages and Salaries: $40,000 Less Than $50,000",391671646,391349650,410049846,418379915,424369612,426147995,437485582,459466462,481302798,488215057,532362657,573836210,609987478,644166765,673622590,701514251,728863875,757013649,786386877,816518956,847394400,878982236,911401194,944997146
"Wages and Salaries: $50,000 Less Than $75,000",900170384,902783183,915963625,916618937,952347137,962308451,1000500360,1050769166,1100707412,1116515287,1217477906,1312325156,1395000697,1473166447,1540529954,1604316323,1666863090,1731239746,1798414361,1867324418,1937934500,2010173774,2084313770,2161145473
"Wages and Salaries: $75,000 Less Than $100,000",791646425,798324358,822009437,840581301,835434509,852517230,870406373,914138780,957583610,971336004,1059170562,1141684926,1213610255,1281612197,1340216499,1395708795,1450122673,1506128502,1564568474,1624518230,1685946959,1748793037,1813292690,1880134049
"Wages and Salaries: $100,000 Less Than $200,000",1521442934,1599743841,1665691829,1759304940,1876094165,1922367424,2015029480,2116271949,2216848662,2248686066,2452026976,2643051400,2809561736,2966989258,3102660824,3231127959,3357098509,3486754494,3622045628,3760831981,3903042222,4048533690,4197853254,4352593975
"Wages and Salaries: $200,000 Less Than $500,000",750627685,806518068,872227137,955295796,1055689937,1106449651,1206754121,1267385873,1327618918,1346685596,1468461721,1582861790,1682580943,1776860611,1858111146,1935047114,2010487936,2088135879,2169158581,2252274488,2337440883,2424572326,2513996328,2606666934
"Wages and Salaries: $500,000 Less Than $1 Million",230634407,259165177,272996984,310372311,337666673,343994542,379375686,398436911,417372793,423366917,461650524,497615270,528964673,558604028,584147324,608334219,632051075,656461799,681933470,708063196,734837547,762229665,790342511,819476013
Wages and Salaries: $1 Million and Over,305543960,387803684,346432571,408251028,336316005,310089733,367731740,386207931,404562625,410372775,447481367,482342268,512729484,541459137,566218447,589662989,612651918,636313419,661003303,686331045,712283628,738835016,766085011,794324337
