YEAR,APOPN,APOPDEP,APOPSNR,AGDPN,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,ARETS,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENEFITS
2011,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2012,1.0077,0.9959,1.0435,1.0416,1.0519,0.9576,1.1135,1.0209,1.0365,0.9970,1.0406,1.0571,0.9635,1.1749,0.9341,0.9307,1.3380,1.6019,1.0730,0.7711,0.9231,1.0000
2013,1.0153,0.9934,1.0811,1.0826,1.0731,1.1020,1.1598,1.0360,1.0620,1.0136,1.0694,1.0598,1.0194,1.1805,0.9535,0.8380,1.1046,1.2528,1.1281,0.5620,0.8273,1.0000
2014,1.0229,0.9915,1.1179,1.1179,1.1130,1.0344,1.1411,1.0525,1.0874,1.0097,1.1205,1.1111,1.0582,1.2797,0.9523,0.7817,1.3088,1.7513,1.1721,0.3603,0.8029,1.0000
2015,1.0309,0.9912,1.1563,1.1623,1.1709,0.5298,1.1495,1.0538,1.1162,1.0225,1.1770,1.1709,1.1152,1.2891,0.9593,0.7822,1.5264,1.7730,1.2316,0.3282,0.8447,1.0621
2016,1.0394,0.9920,1.1947,1.2002,1.2065,0.5722,1.1414,1.0672,1.1584,1.0386,1.2115,1.1375,1.0834,1.2801,0.9525,0.8498,1.5447,1.5590,1.2793,0.2567,0.8703,1.1748
2017,1.0478,0.9933,1.2342,1.2557,1.2749,0.5152,1.1556,1.0898,1.1874,1.0565,1.2667,1.2805,1.2197,1.2960,0.9644,0.9144,1.7792,2.0465,1.3280,0.2559,0.9196,1.1984
2018,1.0563,0.9948,1.2756,1.3213,1.3316,0.4583,1.2469,1.1169,1.2108,1.0730,1.3232,1.3515,1.2873,1.3985,1.0406,0.9704,1.8411,2.4768,1.3990,0.2361,0.9606,1.3326
2019,1.0647,0.9965,1.3189,1.3841,1.3986,0.5656,1.2855,1.1405,1.2251,1.0875,1.3867,1.4159,1.3487,1.4417,1.0728,1.0222,1.9260,2.4915,1.4878,0.2221,1.0089,1.4158
2020,1.0731,0.9974,1.3644,1.4387,1.4657,0.7483,1.2784,1.1699,1.1491,1.1003,1.4512,1.4751,1.4050,1.4337,1.0668,1.1008,1.9840,2.3717,1.5904,0.2312,1.0573,1.4223
2021,1.0814,0.9992,1.4092,1.4915,1.5306,0.9046,1.2759,1.1996,1.1659,1.1133,1.5111,1.5311,1.4584,1.4309,1.0648,1.1800,2.0225,2.3276,1.6992,0.3036,1.1041,1.4764
2022,1.0897,1.0022,1.4558,1.5463,1.5968,1.0119,1.2867,1.2299,1.1829,1.1258,1.5697,1.5885,1.5130,1.4430,1.0738,1.2713,2.0475,2.2934,1.8135,0.3669,1.1518,1.5326
2023,1.0980,1.0051,1.5019,1.6050,1.6646,1.0834,1.3109,1.2601,1.1999,1.1384,1.6317,1.6502,1.5718,1.4701,1.0939,1.3650,2.0636,2.2983,1.9350,0.3850,1.2008,1.5909
2024,1.1062,1.0075,1.5468,1.6687,1.7353,1.1404,1.3617,1.2899,1.2166,1.1511,1.6979,1.7195,1.6378,1.5271,1.1363,1.4421,2.0846,2.3374,2.0633,0.3998,1.2517,1.6514
2025,1.1142,1.0101,1.5935,1.7341,1.8074,1.1894,1.4134,1.3201,1.2336,1.1640,1.7659,1.7895,1.7045,1.5851,1.1795,1.5140,2.1188,2.3912,2.1950,0.4146,1.3038,1.7143
2026,1.1222,1.0124,1.6377,1.7996,1.8820,1.2318,1.4615,1.3513,1.2511,1.1771,1.8344,1.8577,1.7694,1.6390,1.2196,1.5884,2.1677,2.4572,2.3320,0.4311,1.3576,1.7795
2027,1.1301,1.0143,1.6790,1.8700,1.9593,1.2728,1.5309,1.3828,1.2688,1.1902,1.9063,1.9322,1.8404,1.7170,1.2776,1.6562,2.2441,2.5379,2.4749,0.4467,1.4133,1.8472
2028,1.1379,1.0163,1.7188,1.9425,2.0440,1.3139,1.5974,1.4153,1.2870,1.2036,1.9818,2.0096,1.9141,1.7915,1.3331,1.7270,2.3412,2.6235,2.6265,0.4640,1.4745,1.9175
2029,1.1455,1.0198,1.7569,2.0170,2.1333,1.3536,1.6567,1.4486,1.3058,1.2170,2.0600,2.0886,1.9894,1.8580,1.3825,1.8012,2.4412,2.7164,2.7873,0.4813,1.5389,1.9904
