YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,1.043862,0.950283,1.104992,1.0209,1.0365,1.032649,1.049023,0.956138,1.165922,0.926962,0.923588,1.327776,1.58966,1.02827,0.7711,0.9231,0.992359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013,1.012518,1.142179,1.033784,1.014791,1.024602,1.019984,0.99505,1.050098,0.997245,1.013128,0.893658,0.819381,0.776217,1.014786,0.728829,0.896219,0.992515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,1.029476,0.931683,0.976566,1.015927,0.964218,1.039999,1.040616,1.030349,1.075978,0.991321,0.925886,1.17606,1.387522,1.004801,0.641103,0.970506,0.99257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015,1.043858,0.508206,0.999544,1.001235,1.010449,1.040059,1.038052,1.040061,1.04481,1.057257,1.013311,1.013846,1.004308,1.017188,0.81793,0.988666,1.053858,1.023325,1.041528,1.019361,1.102667,1.007792,1.026748,1.132657,1.04693
2016,1.021978,0.689296,0.984833,1.012716,1.119552,1.006516,0.984484,1.005593,0.982695,0.983807,0.999649,0.968237,0.881651,0.991403,0.933831,1.0,1.097065,1.011695,1.010367,0.993375,0.989722,1.002577,1.01625,0.828168,1.105413
2017,1.023145,0.813631,1.035612,1.021364,1.025035,1.024858,1.031876,1.031853,1.035597,1.035546,1.035258,1.012043,1.288753,1.004855,0.99673,1.031368,1.011911,1.030968,1.014601,0.981621,1.0,0.998715,1.063959,1.0,1.0
2018,1.037868,1.48793,1.076947,1.025413,1.018865,1.043267,1.041542,1.041474,1.076929,1.076921,1.027393,1.043789,1.092452,1.019268,0.924171,1.046293,1.103035,1.045097,1.045897,1.005738,1.0,1.002574,1.034828,1.0,1.0
2019,1.048802,1.296752,1.033369,1.022367,0.919326,1.048875,1.03667,1.0367,1.03335,1.033336,1.051772,1.034442,1.038097,1.028572,0.915976,1.057086,1.054052,1.052158,1.045866,1.000751,1.0,1.002567,1.034809,1.0,1.0
2020,1.04501,1.205152,0.981275,1.024941,1.014386,1.040505,1.033538,1.033532,0.981282,0.981316,1.086009,1.024355,0.950281,1.033306,1.095607,1.05323,0.996727,1.050763,1.046106,1.00255,1.0,1.003841,1.034974,1.0,1.0
2021,1.039076,1.16783,0.988453,1.025188,1.014536,1.033582,1.029871,1.029883,0.988505,0.988525,1.07551,1.019555,0.973395,1.034425,1.216981,1.047185,1.03007,1.047248,1.047927,1.001796,1.0,1.002551,1.034869,1.0,1.0
2022,1.037492,1.107286,1.001503,1.024819,1.014678,1.031797,1.032815,1.032794,1.001458,1.001454,1.071861,1.019272,0.992249,1.033069,1.202519,1.045459,1.030159,1.048769,1.047573,0.999851,1.0,1.002545,1.034942,1.0,1.0
2023,1.035465,1.063374,1.014368,1.024299,1.014638,1.031309,1.033569,1.033609,1.014354,1.014368,1.057881,1.019494,1.006503,1.034265,1.085415,1.043291,1.030193,1.050822,1.048715,1.000448,1.0,1.003807,1.034968,1.0,1.0
2024,1.034909,1.048499,1.029774,1.023961,1.014426,1.031531,1.032792,1.032782,1.029834,1.029746,1.042954,1.023418,1.016084,1.035362,1.06731,1.042688,1.030334,1.048426,1.051767,0.99776,1.0,1.002528,1.034951,1.0,1.0
2025,1.034226,1.044463,1.032097,1.023555,1.014138,1.032076,1.031964,1.031967,1.032014,1.032054,1.034388,1.026026,1.022122,1.032681,1.055414,1.041733,1.030635,1.046248,1.052213,1.002245,1.0,1.003783,1.034897,1.0,1.0
2026,1.034278,1.016269,1.025478,1.023543,1.014435,1.031546,1.031365,1.03139,1.02552,1.025507,1.034643,1.028251,1.024311,1.033751,1.051845,1.041667,1.030633,1.072236,1.0,0.999552,1.0,1.002513,1.034808,1.0,1.0
2027,1.033983,0.99068,1.035847,1.023519,1.014474,1.032156,1.031218,1.031211,1.035867,1.035908,1.033653,1.031029,1.027959,1.035128,1.038847,1.041298,1.030788,1.0,1.0,1.0,1.0,1.002506,1.034863,1.0,1.0
2028,1.036421,1.179874,1.03534,1.023629,1.014828,1.032498,1.031818,1.031805,1.035302,1.035334,1.035451,1.115467,1.029502,1.036685,1.02694,1.043556,1.030942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
