agi_bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INT2011,1.0259,0.5597,0.9448,0.9681,0.9728,0.9464,0.8390,0.8997,0.9713,0.9239,0.9342,0.9413,0.9497,0.9510,0.9693,0.9702,0.9569,1.0123,1.7014
INT2012,0.7778,0.9454,0.8433,0.8152,0.7153,0.8101,0.7961,0.7940,0.8481,0.9063,0.9130,0.9183,1.0343,1.0435,1.0129,1.1436,1.0975,1.2338,1.3445
INT2013,1.1326,0.7670,0.7821,0.7778,0.8935,0.8699,0.9558,0.9047,0.8342,0.8596,0.9745,1.0276,1.0499,1.0505,1.0891,0.9632,1.0448,0.9690,1.1426
INT2014,0.9106,0.8668,0.8492,0.7738,0.8431,0.8802,0.9729,0.8838,0.8368,1.0109,0.8443,1.0529,1.0274,0.9291,1.0609,1.1524,1.0627,1.0728,1.0876
INT2015,0.9813,0.9511,0.9323,0.9470,0.9543,0.9246,0.9368,0.9315,0.9463,0.9699,0.9893,1.0163,0.9965,0.9906,1.0241,0.9827,1.0221,1.1437,1.1672
INT2016,0.9842,1.0087,1.0453,1.0319,1.0447,1.0342,1.0123,1.0023,1.0025,1.0175,0.9481,0.9531,0.9752,1.0131,1.0723,1.0130,1.0804,1.0810,0.9935
INT2017,0.9932,0.9173,0.8978,0.8918,0.8944,0.9131,0.9203,0.9404,0.9611,0.9786,1.0157,1.0693,1.0312,0.9881,0.9354,0.9756,0.9565,1.0484,1.1946
INT2018,0.9992,0.9746,0.9683,0.9673,0.9757,0.9725,0.9748,0.9779,0.9742,0.9969,0.9930,1.0037,1.0148,1.0067,1.0237,0.9898,1.0182,1.0894,0.9982
INT2019,0.9979,0.9771,0.9763,0.9903,0.9793,0.9805,0.9769,0.9852,0.9826,0.9941,0.9933,1.0110,1.0019,1.0073,0.9967,1.0006,1.0253,1.0298,1.0195
INT2020,1.0017,0.9799,0.9740,0.9757,0.9843,0.9849,0.9830,0.9833,0.9932,0.9961,0.9959,1.0114,1.0058,1.0047,1.0083,0.9991,1.0129,1.0113,1.0113
INT2021,0.9958,0.9797,0.9775,0.9780,0.9838,0.9898,0.9883,0.9869,0.9920,0.9978,1.0044,0.9974,1.0067,1.0117,1.0049,1.0040,1.0303,1.0085,1.0022
INT2022,1.0063,0.9815,0.9810,0.9783,0.9724,0.9820,0.9851,0.9893,0.9934,1.0048,1.0022,1.0048,1.0029,1.0048,1.0047,1.0044,1.0133,0.9989,1.0111
INT2023,0.9984,0.9812,0.9761,0.9789,0.9892,0.9893,0.9852,1.0194,0.9942,0.9956,1.0022,1.0014,1.0023,1.0070,1.0006,1.0093,1.0214,1.0021,0.9943
INT2024,1.0014,0.9842,0.9813,0.9791,0.9709,0.9789,0.9892,1.0106,0.9906,0.9984,0.9987,0.9971,1.0047,1.0077,1.0089,1.0075,1.0238,1.0147,1.0081
INT2025,1.0086,0.9936,0.9773,0.9769,0.9835,0.9817,1.0013,0.9939,0.9934,1.0007,0.9992,0.9979,1.0049,1.0074,1.0143,1.0151,1.0239,0.9942,0.9913
INT2026,1.0088,0.9842,0.9790,0.9794,0.9871,0.9903,1.0007,0.9910,0.9952,0.9939,0.9929,0.9931,1.0071,1.0142,1.0372,1.0249,1.0207,0.9992,0.9936
INT2027,1.0116,0.9889,0.9841,0.9806,0.9889,0.9906,0.9806,0.9952,0.9906,0.9945,0.9993,0.9914,1.0074,1.0185,1.0175,1.0277,1.0258,0.9932,0.9947
INT2028,1.0062,0.9977,0.9772,0.9828,0.9863,0.9877,1.0107,0.9956,0.9923,0.9954,0.9934,0.9920,1.0068,1.0177,1.0271,1.0219,1.0222,0.9962,0.9918
INT2029,1.0107,0.9939,0.9780,0.9801,0.9823,0.9852,1.0025,0.9851,0.9945,0.9933,0.9932,0.9929,1.0033,1.0282,1.0278,1.0473,1.0235,1.0010,0.9925
INT2030,1.0289,1.0010,0.9821,0.9840,0.9821,0.9917,0.9823,0.9877,0.9822,0.9890,0.9815,0.9920,1.0056,1.0363,1.0382,1.0450,1.0301,0.9951,0.9921
INT2031,1.0279,1.0212,0.9858,0.9918,0.9829,0.9886,0.9858,0.9770,0.9918,0.9937,0.9794,0.9871,0.9952,1.0446,1.0439,1.0732,1.0284,1.0061,0.9932
INT2032,1.0080,1.1006,0.9919,0.9812,0.9867,0.9850,0.9880,0.9740,0.9732,0.9791,0.9656,0.9835,0.9899,1.0785,1.0904,1.1373,1.0484,1.0099,0.9983
INT2033,0.9351,0.8350,0.9708,0.9739,0.9898,0.9850,0.9879,1.0383,1.0313,1.0351,1.1160,1.0747,1.0374,0.8505,0.8247,0.7425,0.8974,1.0567,1.0931
