,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
GDP,14718.6,14418.7,14964.4,15517.9,16163.2,16800,17348.1,18036.7,18569.1,19310.3,20117.9,20846.6,21565.5,22377.8,23262.2,24185.9,25149.5,26149.8,27191.3,28272.7
TPY,12429.6,12087.5,12429.3,13202,13887.7,14166.9,14694.2,15458.5,16011.6,16687.9,17450.2,18215.4,18986.1,19819.5,20686.9,21579.5,22509.8,23457.9,24479.1,25534.4
Wages,6531.9,6251.4,6377.5,6633.2,6932.1,7124.7,7477.8,7854.8,8189.2,8567.3,8947.9,9291.7,9616.1,9966,10350.8,10757.8,11180.8,11621.2,12079.7,12557.5
SCHC,979.5,937.5,986.7,1068.1,1187.9,1253.5,1268.5,1336.8,1389.7,1458.5,1507.7,1555,1600.5,1653.4,1714.9,1782.7,1855.2,1931.4,2011.2,2094.7
SCHF,47,35.5,46,75.5,72.3,83.2,78.1,40,27.8,22.8,34.2,44.7,54.3,63.9,71.3,76.4,80.7,84.9,86.9,86.7
INTS,1361.6,1264.3,1195,1231.6,1255.9,1255.2,1302,1302.8,1314.5,1367.3,1428.5,1530.7,1668,1833.8,1981,2113.6,2232.4,2339.2,2451.8,2567.3
DIVS,805.4,553.7,544.6,682.2,832.7,824.5,815.5,951.1,948.4,967.6,1018.1,1061.6,1096,1126.1,1156.6,1188.1,1225,1266,1311.1,1361.3
RENTS,262.1,333.7,402.8,485.3,533,595.8,610.8,659.6,704.7,737.4,757.1,768.9,769.2,770.3,774,779.2,790.3,802.8,819.2,840
CGNS,495.1,263.1,393.6,402.6,644.9,416,561,717,643,714,738,739,758,782,810,840,872,906,942,979
BOOK,1285.1,1397,1746.4,1816.6,2022.8,2106.9,2072.9,2088.1,2085.8,2093.9,2097.9,2117.7,2148.1,2192.6,2252.8,2334.8,2424,2517.1,2619.5,2724.6
RETS,142.5,140.5,142.9,145.4,144.9,146.6,148.3,147.8,149.7,151.7,153.3,155.1,156.7,158.3,159.9,161.4,163,164.6,166.2,167.9
SOCSEC,503,544.5,572.5,591.5,627.2,663.2,698.2,733.7,762.1,791.3,837.7,898.4,962.7,1027.8,1098,1172.8,1251.8,1333.5,1419.3,1510.6
CPIU,215.3,214.5,218.1,224.9,229.6,233,237.9,237,240,245.4,250.9,256.7,262.8,269.2,275.6,282.2,288.9,295.8,302.9,310.2
CPIM,364.1,375.6,388.4,400.3,414.9,425.1,409.9,414.2,419.8,430.4,435.9,441.7,447.8,454.2,460.6,467.2,473.9,480.8,487.9,495.2
UCOMP,51.1,131.2,138.9,107.2,83.6,62.2,43.8,39.9,31.2,31.1,30.4,32.9,38.9,43.3,46.1,48.5,50.6,52.8,55.1,57
