,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
US Population,304093966.0000,306771529.0000,309347057.0000,311721632.0000,314112078.0000,316497531.0000,318857056.0000,321368864.0000,323995528.0000,326625791.0000,329256465.0000,331883986.0000,334503458.0000,337108968.0000,339698079.0000,342267302.0000,344814299.0000,347334912.0000,349825585.0000,352281475.0000
POP_DEP,83118264.0000,83280391.0000,83185431.0000,82840576.0000,82503131.0000,82296428.0000,82135602.0000,82109509.0000,82178228.0000,82284937.0000,82410728.0000,82547300.0000,82624346.0000,82772040.0000,83023463.0000,83259014.0000,83463249.0000,83673850.0000,83868421.0000,84024180.0000
POP_SNR,38777621.0000,39623175.0000,40479353.0000,41366628.0000,43164909.0000,44723041.0000,46243211.0000,47830245.0000,49420383.0000,51055052.0000,52766466.0000,54556914.0000,56441027.0000,58292098.0000,60221375.0000,62126945.0000,63987872.0000,65919552.0000,67748101.0000,69455598.0000
Single Returns,64896521.0000,62819226.0000,64846356.0000,67294506.0000,66655855.0000,68563354.0000,69579590.0000,70458742.5406,71568950.2758,72800801.2156,73939806.6986,74939283.0610,75822240.0355,76718243.7656,77577194.7098,78445762.6198,79324055.1688,80212181.2356,81110250.9180,82018375.5464
Joint Returns,56455157.0000,56178626.0000,56128977.0000,56013790.0000,56458434.0000,56796607.0000,55128595.0000,55825156.2236,56704784.7555,57680792.3975,58583237.6688,59375132.6425,60074708.1567,60784620.7439,61465176.0436,62153350.9601,62849230.8040,63552901.8410,64264451.3025,64983967.3970
Head of Household Returns,21098890.0000,21496275.0000,21916717.0000,22061944.0000,21814184.0000,21991339.0000,22077498.0000,22356451.7630,22708718.9875,23099583.4157,23460988.1218,23778120.4503,24058281.3543,24342581.9741,24615125.8013,24890721.0771,25169401.9660,25451203.0152,25736159.1585,26024305.7208
Number of Returns w/ Gross Security Income,24066883.0000,24589713.0000,25422847.0000,25837226.0000,26480552.0000,27070833.0000,27401498.0000,28341897.8562,29284136.9933,30252763.0546,31266864.5040,32327797.6924,33444232.2454,34541087.7018,35684284.2643,36813433.2013,37916128.8482,39060749.3128,40144259.3174,41156039.7414
Number of Dependent Exemptions,96361984.0000,98027256.0000,99097034.0000,99345455.0000,97912393.0000,97691386.0000,96916673.0000,96885884.3202,96966969.9480,97092882.2322,97241310.5010,97402459.9118,97493371.0612,97667643.9800,97964312.9041,98242253.5132,98483242.5146,98731743.1374,98961329.0115,99145118.3027
Taxable Interest Income,223291064.0000,168001234.0000,139611242.0000,120111673.0000,111789613.0000,100648711.0000,93894280.0000,93951972.3379,94795722.7803,98603417.0845,103016880.9370,110387077.1091,120288524.6083,132245261.6467,142860651.8280,152423156.8418,160990469.0261,168692396.1413,176812592.7066,185141923.9969
Ordinary Dividends,219330668.0000,163458846.0000,183539268.0000,194609806.0000,260393306.0000,214972683.0000,254702232.0000,297053700.6195,296210419.1647,302207087.2878,317979573.7574,331565774.9739,342309805.3611,351710831.9500,361236789.1247,371075072.7642,382599919.3133,395405304.3679,409491227.9279,425170016.4581
