,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
APOPN,1.0000,1.0077,1.0153,1.0229,1.0309,1.0394,1.0478,1.0563,1.0647,1.0731,1.0814,1.0897,1.0980,1.1062,1.1142,1.1222
APOPDEP,1.0000,0.9959,0.9934,0.9915,0.9912,0.9920,0.9933,0.9948,0.9965,0.9974,0.9992,1.0022,1.0051,1.0075,1.0101,1.0124
APOPSNR,1.0000,1.0435,1.0811,1.1179,1.1563,1.1947,1.2342,1.2756,1.3189,1.3644,1.4092,1.4558,1.5019,1.5468,1.5935,1.6377
AGDPN,1.0000,1.0416,1.0826,1.1179,1.1565,1.1940,1.2438,1.2942,1.3416,1.3898,1.4441,1.5016,1.5620,1.6249,1.6907,1.7589
ATXPY,1.0000,1.0519,1.0731,1.1130,1.1628,1.2118,1.2643,1.3182,1.3710,1.4284,1.4915,1.5585,1.6265,1.6972,1.7699,1.8461
ASCHF,1.0000,0.9576,1.1020,1.0344,0.7934,0.6278,0.7801,0.8848,0.9391,1.0013,1.0689,1.1377,1.2199,1.3152,1.4026,1.4636
ABOOK,1.0000,1.1135,1.1598,1.1411,1.1059,1.0782,1.0815,1.0920,1.1040,1.1097,1.1318,1.1680,1.2189,1.2773,1.3446,1.4176
ACPIU,1.0000,1.0209,1.0360,1.0578,1.0771,1.1018,1.1262,1.1520,1.1789,1.2064,1.2345,1.2632,1.2927,1.3230,1.3540,1.3859
ACPIM,1.0000,1.0365,1.0620,1.0240,1.0347,1.0487,1.0625,1.0769,1.0919,1.1074,1.1232,1.1394,1.1559,1.1729,1.1904,1.2081
ARETS,1.0000,0.9970,1.0136,1.0097,1.0225,1.0386,1.0565,1.0730,1.0875,1.1003,1.1133,1.1258,1.1384,1.1511,1.1640,1.1771
AWAGE,1.0000,1.0406,1.0694,1.1205,1.1740,1.2294,1.2830,1.3352,1.3837,1.4338,1.4891,1.5477,1.6089,1.6723,1.7381,1.8065
ASCHCI,1.0000,1.0571,1.0598,1.1111,1.1635,1.2115,1.2641,1.3136,1.3574,1.4009,1.4521,1.5080,1.5686,1.6331,1.7014,1.7728
ASCHCL,1.0000,0.9635,1.0194,1.0582,1.1082,1.1539,1.2040,1.2511,1.2928,1.3343,1.3831,1.4363,1.4941,1.5555,1.6205,1.6885
ASCHEI,1.0000,1.1749,1.1805,1.2797,1.2402,1.2092,1.2129,1.2247,1.2381,1.2445,1.2694,1.3099,1.3670,1.4325,1.5080,1.5898
ASCHEL,1.0000,0.9341,0.9535,0.9523,0.9229,0.8998,0.9025,0.9113,0.9213,0.9261,0.9446,0.9747,1.0172,1.0659,1.1221,1.1830
AINTS,1.0000,0.9307,0.8380,0.7817,0.7879,0.8131,0.8476,0.8825,0.9348,1.0104,1.1039,1.1938,1.2789,1.3528,1.4192,1.4858
ADIVS,1.0000,1.3380,1.1046,1.3088,1.3934,1.4282,1.4765,1.5256,1.5781,1.6270,1.6749,1.7265,1.7835,1.8464,1.9149,1.9901
ACGNS,1.0000,1.6019,1.2528,1.7513,2.0385,2.2195,2.2414,2.2632,2.2601,2.3007,2.3631,2.4381,2.5255,2.6222,2.7284,2.8376
ASOCSEC,1.0000,1.0730,1.1281,1.1721,1.2316,1.2815,1.3371,1.4267,1.5303,1.6396,1.7500,1.8707,2.0022,2.1428,2.2884,2.4438
AUCOMP,1.0000,0.7711,0.5620,0.3603,0.3282,0.2567,0.2476,0.2657,0.2986,0.3406,0.3603,0.3768,0.3949,0.4163,0.4360,0.4549
AIPD,1.0000,0.9231,0.8273,0.8029,0.8388,0.8742,0.9120,0.9509,0.9890,1.0304,1.0759,1.1243,1.1733,1.2243,1.2767,1.3317
