YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENEFITS
2011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,1.043862,0.950283,1.104992,1.0209,1.0365,1.032649,1.049023,0.956138,1.165922,0.926962,0.923588,1.327776,1.58966,1.02827,0.7711,0.9231,0.992359
2013,1.012518,1.142179,1.033784,1.014791,1.024602,1.019984,0.99505,1.050098,0.997245,1.013128,0.893658,0.819381,0.776217,1.014786,0.728829,0.896219,0.992515
2014,1.029476,0.931683,0.976566,1.015927,0.964218,1.039999,1.040616,1.030349,1.075978,0.991321,0.925886,1.17606,1.387522,1.004801,0.641103,0.970506,0.99257
2015,1.043858,0.508206,0.999544,1.001235,1.010449,1.042272,1.045643,1.045687,0.999528,0.999533,0.992874,1.157209,1.268161,1.015868,0.910908,1.052061,1.053858
2016,1.021978,1.071198,0.984833,1.012716,1.01353,1.020894,0.96353,0.96354,0.984898,0.984792,1.077538,1.003713,0.881974,1.005343,0.782145,1.030307,1.097065
2017,1.022405,0.805965,1.050299,1.021364,1.025269,1.02318,1.031575,1.03163,1.050258,1.050305,1.034357,0.994873,1.288771,1.005072,0.996884,1.030679,1.011911
2018,1.044363,0.963788,1.055894,1.021651,1.022321,1.046091,1.034972,1.034917,1.055922,1.055887,1.042777,1.051885,1.092456,1.024288,0.922626,1.052843,1.103035
2019,1.051977,1.303339,1.032137,1.02218,1.012464,1.049553,1.041708,1.041737,1.032133,1.03222,1.08115,1.079014,1.03806,1.037255,0.916561,1.060356,1.054052
2020,1.045061,1.286614,0.975343,1.02451,1.014197,1.04071,1.032903,1.032927,0.975315,0.975294,1.094214,1.051701,0.950285,1.035877,1.094732,1.053325,0.996727
2021,1.038745,1.209231,0.983651,1.025296,1.01453,1.033109,1.031014,1.031014,0.983648,0.983648,1.090183,1.027902,0.973375,1.033631,1.21908,1.046739,1.03007
2022,1.035305,1.131234,0.996416,1.024839,1.014671,1.031299,1.033871,1.03386,0.996455,0.996487,1.062421,1.014894,0.992277,1.034139,1.202216,1.043293,1.030159
2023,1.033275,1.07851,1.015558,1.024482,1.014631,1.031396,1.037431,1.037393,1.015554,1.015508,1.039398,1.009803,1.006481,1.035356,1.085253,1.041149,1.030193
2024,1.034022,1.057102,1.027627,1.024056,1.01442,1.031948,1.036153,1.036212,1.027596,1.027561,1.025841,1.013446,1.016119,1.036368,1.067675,1.041774,1.030334
2025,1.034037,1.046991,1.026887,1.023724,1.014132,1.032721,1.034813,1.034814,1.026899,1.026955,1.027372,1.018494,1.022098,1.034024,1.055183,1.04146,1.030635
2026,1.033768,1.018062,1.024634,1.02363,1.014429,1.032238,1.032146,1.032159,1.024648,1.024629,1.026734,1.022311,1.024299,1.035647,1.052297,1.041193,1.030633
2027,1.033563,0.994049,1.031705,1.023605,1.014631,1.033243,1.03206,1.032015,1.031699,1.031663,1.030969,1.031213,1.027981,1.03812,1.038728,1.040818,1.030788
