,fh_seq,ffpos,Housing_participation,housing_impute,probs
0,3,1,0,0.0,0.0642764714689
1,5,1,0,0.0,0.00870840729181
2,7,1,0,0.0,0.0629812253941
3,9,1,0,0.0,0.00729366419175
4,10,1,0,0.0,0.00955624508681
5,11,1,0,0.0,0.0369377662569
6,13,1,0,0.0,0.0830706167401
7,16,1,0,0.0,0.00942373098804
8,17,1,0,0.0,0.0407008094003
9,18,1,0,0.0,0.191361074423
10,19,1,0,0.0,0.00493305832862
11,20,1,0,0.0,0.0162410318206
12,21,1,0,0.0,0.0745230478338
13,26,1,0,0.0,0.0503193527641
14,29,1,0,0.0,0.0113252380329
15,31,1,0,0.0,0.0101919726545
16,32,1,0,0.0,0.00552415979285
17,34,1,0,0.0,0.00762282461894
18,35,1,0,0.0,0.0899940251711
19,40,1,0,0.0,0.0126248732856
20,41,1,0,0.0,0.00460237215782
21,44,1,0,0.0,0.0643732111925
22,45,1,0,0.0,0.0146324505117
23,46,1,0,0.0,0.0953014284766
24,47,1,0,0.0,0.0746763387037
25,48,1,0,0.0,0.232821012346
26,49,1,0,0.0,0.000843518909524
27,52,1,0,0.0,0.0488908304239
28,52,2,0,0.0,0.018979048484
29,53,1,0,0.0,0.280575795582
30,54,1,0,0.0,0.142679065456
31,56,1,0,0.0,0.0112127928895
32,58,1,0,0.0,0.00542361404932
33,59,1,0,0.0,0.00177363612657
34,60,1,0,0.0,0.0158911031133
35,61,1,0,0.0,0.00161540666794
36,62,1,0,0.0,0.0688236025833
37,64,1,0,0.0,0.0681415933024
38,65,1,0,0.0,0.0136874603202
39,66,1,0,0.0,0.185192020056
40,67,1,0,0.0,0.000183526240019
41,68,1,0,0.0,0.0119273237196
42,69,1,0,0.0,0.0733201674754
43,75,1,0,0.0,0.0180274897197
44,75,2,0,0.0,0.014668223227
45,77,1,0,0.0,0.00249505699937
46,78,1,0,0.0,0.00871750208114
47,79,1,0,0.0,0.100917983657
48,79,2,0,0.0,0.30671831695
49,80,1,0,0.0,0.184562493305
50,81,1,0,0.0,0.00464674317855
