h_seq,snap_participation,snap_impute,probs
3,2,2447.68167941,0.302113579389
5,0,0.0,0.136330343584
7,0,0.0,0.137129207678
9,0,0.0,0.0027075774286
10,0,0.0,0.0383544408769
11,0,0.0,0.0547039071958
13,2,2447.68167941,0.154395511584
16,0,0.0,0.190242447781
17,1,1008.66003273,0.211552013729
18,1,6365.76553987,0.578781714916
20,0,0.0,0.181263114391
21,0,0.0,0.561418562161
26,0,0.0,0.748349156913
29,0,0.0,0.0164397510973
31,0,0.0,0.0432970252241
32,0,0.0,0.0116830272104
34,0,0.0,0.0131403103886
35,2,2447.68167941,0.139244155537
40,0,0.0,0.0221696538276
41,0,0.0,0.00539655799096
44,2,2447.68167941,0.11853974958
45,0,0.0,0.0354196337514
46,0,0.0,0.0729271309943
47,1,1120.73336969,0.0418258512335
48,1,5491.5935115,0.911287948238
52,0,0.0,0.0252388162609
53,1,448.293347878,0.540357027426
54,1,2241.46673939,0.373038826787
56,0,0.0,0.169220233387
58,0,0.0,0.0139074438866
60,0,0.0,0.0278379160422
62,2,2447.68167941,0.0962759195755
64,2,2447.68167941,0.0845765646845
65,0,0.0,0.0174876818074
66,1,89.6586695756,0.339976733498
68,0,0.0,0.0308062968821
69,2,2447.68167941,0.409034152874
75,0,0.0,0.00690562618352
78,0,0.0,0.0309655644235
79,1,1075.90403491,0.408529469608
80,1,3676.0054526,0.55264113502
81,0,0.0,0.00587170954801
84,0,0.0,0.0229389041599
87,0,0.0,0.434719311582
89,0,0.0,0.0274421489797
90,0,0.0,0.00276456689331
91,1,3642.38345151,0.679733288207
96,2,2447.68167941,0.074613309861
99,0,0.0,0.00949366565851
105,0,0.0,0.0128149540671
112,1,2521.65008181,0.835236544
113,2,2447.68167941,0.111226786181
116,1,6365.76553987,0.59094111422
122,0,0.0,0.00316065857006
130,0,0.0,0.0223121460443
132,1,1120.73336969,0.596512120589
134,0,0.0,0.0372183981749
140,1,5603.66684847,0.62958777677
141,1,2891.49209381,0.204594051298
151,0,0.0,0.0516311842328
153,0,0.0,0.0947916733439
155,0,0.0,0.0120555982312
159,0,0.0,0.00436964677236
161,1,403.46401309,0.800928692816
163,0,0.0,0.0389546968368
165,0,0.0,0.00927547732861
167,0,0.0,0.025552795076
169,0,0.0,0.0248840365938
177,0,0.0,0.0410370424969
179,1,3362.20010908,0.567322380115
182,0,0.0,0.0618153760206
189,0,0.0,0.427040540172
192,0,0.0,0.0104385896272
198,0,0.0,0.0243826164288
199,0,0.0,0.0437810857428
202,1,933.944474746,0.186467812974
206,0,0.0,0.0178605642968
207,0,0.0,0.118904246432
211,0,0.0,0.209136807845
212,1,1714.72205563,0.889179362162
213,0,0.0,0.00356346029288
214,0,0.0,0.00619352762999
215,0,0.0,0.0272164811585
218,0,0.0,0.071956277898
220,0,0.0,0.00345121751054
222,0,0.0,0.0188155209781
223,0,0.0,0.0156940001757
224,2,2447.68167941,0.130187579463
226,1,179.317339151,0.0745700958461
227,0,0.0,0.035799987318
228,1,5379.52017454,0.52907523071
229,0,0.0,0.305105333929
235,0,0.0,0.267296198147
237,2,2447.68167941,0.0950446070551
238,2,2447.68167941,0.367947756476
239,0,0.0,0.00786695380229
241,1,1714.72205563,0.473748697494
242,0,0.0,0.0551032238073
243,0,0.0,0.0294768387295
246,0,0.0,0.001356397733
247,0,0.0,0.0196697919184
248,0,0.0,0.0692608365963
249,2,2447.68167941,0.0963544099955
250,0,0.0,0.114027112116
252,0,0.0,0.00406339877366
253,0,0.0,0.0331597187609
259,0,0.0,0.00387902486804
260,0,0.0,0.0108557479709
267,0,0.0,0.00143443935542
268,0,0.0,0.00305856580579
272,0,0.0,0.012089262592
281,0,0.0,0.0490762033946
283,0,0.0,0.014499551052
285,2,2447.68167941,0.143481418949
286,0,0.0,0.051758557809
289,2,2447.68167941,0.112252763176
308,0,0.0,0.00364771658969
320,0,0.0,0.0406543005766
321,0,0.0,0.0079909200448
322,2,2447.68167941,0.143481418949
329,0,0.0,0.0106495334686
330,0,0.0,0.00256022395104
331,0,0.0,0.110852799063
332,0,0.0,0.0275819727826
333,1,2370.3510769,0.406287002953
334,0,0.0,0.0218270016536
337,0,0.0,0.013499424058
344,0,0.0,0.00781143949463
345,0,0.0,0.0592558914969
346,1,899.38852918,0.571239152652
347,0,0.0,0.0537805998769
349,0,0.0,0.0168653179632
351,1,2757.00408945,0.735237220982
353,0,0.0,0.0490245278544
355,0,0.0,0.0509857641924
359,0,0.0,0.0316890953759
364,0,0.0,0.511203531904
365,1,5603.66684847,0.429855740343
366,0,0.0,0.00646645699269
367,0,0.0,0.0479122451523
368,0,0.0,0.0698506761816
369,0,0.0,0.00288775738437
372,2,2447.68167941,0.265312179896
373,1,2241.46673939,0.503605999401
374,2,2447.68167941,0.364075761034
375,0,0.0,0.00272694622971
376,0,0.0,0.00479561069148
377,0,0.0,0.547332636434
378,0,0.0,0.0120555982312
379,2,2447.68167941,0.207430304496
380,1,2241.46673939,0.340999087556
381,0,0.0,0.0851396597106
386,2,2447.68167941,0.596512120589
388,0,0.0,0.0167674225397
390,0,0.0,0.0248844721915
391,0,0.0,0.0461869088022
392,0,0.0,0.0208704539937
393,0,0.0,0.109784742025
398,0,0.0,0.00370644806444
405,0,0.0,0.0035267558568
408,0,0.0,0.0119309759855
409,1,1120.73336969,0.300606426189
412,1,2241.46673939,0.594065415947
418,0,0.0,0.165534969113
419,2,2447.68167941,0.082450617692
446,0,0.0,0.00285850824101
447,0,0.0,0.0367992440349
449,0,0.0,0.0290281003163
450,0,0.0,0.0200079108334
451,1,156.902671757,0.344593678673
452,0,0.0,0.0399704918963
455,0,0.0,0.0332213681416
456,1,1867.88894949,0.0127163423837
460,0,0.0,0.00939163411628
473,0,0.0,0.0341636355874
474,0,0.0,0.0621410375706
476,0,0.0,0.0267984319406
477,2,2447.68167941,0.0817509532775
478,1,1979.96228646,0.75124024285
479,1,4034.6401309,0.732653761339
481,0,0.0,0.00175992983747
483,0,0.0,0.251555522976
484,0,0.0,0.00739046636935
497,0,0.0,0.0462057587923
498,2,2447.68167941,0.281123326431
499,0,0.0,0.0302089059866
501,0,0.0,0.0351571640121
508,0,0.0,0.0111320686444
510,1,3362.20010908,0.247218743768
512,0,0.0,0.0119690733008
514,0,0.0,0.0133155148308
516,2,2447.68167941,0.131314279858
518,0,0.0,0.0028655490457
519,1,1681.10005454,0.105450786443
522,0,0.0,0.013461526711
524,0,0.0,0.0725140598006
525,0,0.0,0.248477731039
526,0,0.0,0.0402174544335
527,0,0.0,0.0116371330127
529,0,0.0,0.239820486687
530,0,0.0,0.235102046796
531,0,0.0,0.0589372557465
536,0,0.0,0.0321032986251
547,0,0.0,0.00543281636938
548,0,0.0,0.00568044551283
549,0,0.0,0.150827362879
550,1,3735.77789898,0.9348407548
551,1,1714.72205563,0.0964053625711
555,0,0.0,0.648935029109
556,0,0.0,0.0699184254437
557,1,896.586695756,0.0368917510911
558,2,2447.68167941,0.120540093352
559,0,0.0,0.0175606304968
561,1,3661.062341,0.258003533591
563,1,179.317339151,0.437276962585
564,0,0.0,0.0340375157112
571,0,0.0,0.0258142014675
572,0,0.0,0.0297965390459
577,0,0.0,0.0114007966479
578,0,0.0,0.00347675405842
579,1,635.082242827,0.434474443527
580,0,0.0,0.113571544896
584,0,0.0,0.0204233145518
585,0,0.0,0.271889625756
587,0,0.0,0.0323747422015
589,2,2447.68167941,0.237532610092
591,0,0.0,0.0239851420927
593,1,470.708015272,0.583537056906
594,0,0.0,0.0151526448218
595,0,0.0,0.0605620545301
596,0,0.0,0.0116551480485
597,0,0.0,0.0390411158482
598,0,0.0,0.124832639884
608,0,0.0,0.0673797918625
609,1,4482.93347878,0.62958777677
610,0,0.0,0.0697927506826
611,0,0.0,0.0133053692402
612,0,0.0,0.750510735837
614,2,2447.68167941,0.0975644514966
615,0,0.0,0.0175817528611
620,0,0.0,0.0523351450677
621,2,2447.68167941,0.0873127911608
624,1,1748.34405672,0.603115106548
626,0,0.0,0.00610051610117
633,0,0.0,0.0422719116826
647,0,0.0,0.0213493611026
648,0,0.0,0.0212923873149
651,0,0.0,0.00386208681872
653,0,0.0,0.07546281768
660,0,0.0,0.78744405318
661,0,0.0,0.00624108419645
662,1,5603.66684847,0.610344934588
663,0,0.0,0.0580170235719
665,0,0.0,0.0354684550038
668,0,0.0,0.00751674386221
669,1,179.317339151,0.35204192216
670,1,7845.13358786,0.855690224401
671,0,0.0,0.197284690031
672,0,0.0,0.0214143820319
673,0,0.0,0.00379909124133
674,0,0.0,0.00413102179321
677,0,0.0,0.0252237033107
679,0,0.0,0.111599636543
682,0,0.0,0.0239681095837
683,2,2447.68167941,0.161026707874
684,0,0.0,0.00537663474405
688,0,0.0,0.0441591975142
691,0,0.0,0.0169223460686
692,0,0.0,0.00643435983497
694,0,0.0,0.028883246292
695,0,0.0,0.0562968226415
696,1,1714.72205563,0.111382913474
697,1,2633.72341878,0.70730263164
698,0,0.0,0.00418987896622
699,0,0.0,0.564766083366
703,0,0.0,0.0262747910339
705,0,0.0,0.0651570221179
706,0,0.0,0.444658700941
707,0,0.0,0.0021065280713
709,0,0.0,0.182066558537
710,0,0.0,0.0135762096526
711,0,0.0,0.0349519323659
712,0,0.0,0.143386452228
714,0,0.0,0.00556195318106
718,0,0.0,0.022369894034
720,0,0.0,0.0167081319222
721,1,2801.83342424,0.616756579765
723,0,0.0,0.0105787781285
724,0,0.0,0.0134604793184
726,0,0.0,0.105500660761
727,0,0.0,0.0736572225595
729,0,0.0,0.0911229840722
730,0,0.0,0.025656348131
732,0,0.0,0.0221428662354
734,2,2447.68167941,0.0755786078507
735,0,0.0,0.0223527865199
737,0,0.0,0.00145322798382
739,0,0.0,0.00550635474495
740,2,2447.68167941,0.100439296265
741,0,0.0,0.0339871152971
744,0,0.0,0.0645250332888
746,0,0.0,0.0018814400652
747,0,0.0,0.149157732091
749,0,0.0,0.00749243140365
750,0,0.0,0.295217329047
760,0,0.0,0.696619881158
761,0,0.0,0.00428058660362
762,0,0.0,0.0500562910028
764,0,0.0,0.00507668933017
771,0,0.0,0.0513858893804
772,0,0.0,0.0490992513726
773,0,0.0,0.0163256709166
789,2,2447.68167941,0.472627690477
791,0,0.0,0.00380972406855
792,0,0.0,0.354055899391
794,1,1927.66139588,0.651153921557
795,1,1714.72205563,0.591823535892
796,0,0.0,0.00448883646674
797,0,0.0,0.0518198464589
798,1,1927.66139588,0.40671190785
799,1,1927.66139588,0.107712463974
801,0,0.0,0.0621410375706
802,0,0.0,0.00873880975607
804,0,0.0,0.000445636619875
805,0,0.0,0.013674913758
807,0,0.0,0.025204469595
808,1,1882.83206109,0.431571689996
809,0,0.0,0.0133676556836
812,1,2084.56406763,0.0158298755001
813,1,1681.10005454,0.350206844784
814,0,0.0,0.129962343581
816,0,0.0,0.00674998017615
817,2,2447.68167941,0.0916505510482
820,0,0.0,0.154050644489
821,0,0.0,0.00372136956457
824,0,0.0,0.00271113935432
825,1,2869.07742642,0.638613950699
828,0,0.0,0.0491884624581
830,1,831.210582524,0.415233826015
831,1,1221.59937297,0.0614466056272
834,1,4441.83992189,0.881156304598
837,0,0.0,0.0434149326549
838,0,0.0,0.111956823656
840,2,2447.68167941,0.18451812126
841,0,0.0,0.00734088643665
842,1,5603.66684847,0.975134383552
845,0,0.0,0.0113502599649
847,0,0.0,0.0766745569606
852,0,0.0,0.00215116014138
853,1,3093.22410036,0.423502332209
855,0,0.0,0.0695059966893
856,0,0.0,0.177465682037
858,0,0.0,0.0164138736902
862,0,0.0,0.336017316972
868,0,0.0,0.0240649807887
869,0,0.0,0.00230200194036
871,1,2241.46673939,0.554133484043
873,1,6724.40021817,0.856287971823
