,peridnum,ss_val,Participation,Prob_Received
4,1036030229434539300201,12294.7251053,1,0.9896317079
7,0521321306930949300101,18330.3741132,1,0.828596117898
9,6960239702245509300101,10749.4410016,1,0.828596117898
10,6960239702245509300102,12183.5311584,1,0.828596117898
27,9033495101262039300103,16211.4539467,1,0.0187142241225
34,9326060749096659300101,6670.59762075,1,0.988447778284
40,3946500592706229300102,26249.0458486,1,0.828596117898
41,4203069750696969300201,20013.8712538,1,0.916419430879
44,2325700630019159300101,19340.4723975,1,0.916419430879
46,0203102629079060301101,16884.8528029,1,0.828596117898
47,0550832612018910301101,18705.5237846,1,0.806672007079
51,9100075226106530301101,10849.2037951,1,0.933071566424
52,9100075226106530301102,10648.6390123,1,0.616326539587
53,0090138632004910301101,5049.45222608,1,0.869692178993
54,0090138632004910301102,2430.67889623,1,0.976788621227
55,2936518015802010301101,22507.9410917,1,0.968234638371
56,2936518015802010301102,6084.49120883,1,0.968234638371
74,2061209190513850301101,9277.93979717,1,0.968234638371
75,2061209190513850301102,9277.93979717,1,0.968234638371
82,4442964093009319300101,7668.22555592,1,0.916419430879
148,9531590202562029300101,6883.63275274,1,0.829028085459
149,1203069648246989300101,24292.2402216,1,0.909892935754
152,5325120529092609300201,10661.1093615,1,0.0256544190351
165,6250539122290509300101,10037.591902,1,0.585977605274
169,6250539122290509300102,10037.591902,1,0.0165747873371
175,5532609016602020301101,13741.2856113,1,0.0904471780541
178,7590539872398209300101,7457.26881546,1,0.917446679831
193,3999807255807329300301,8740.67558624,1,0.128916721515
212,2674618040213799300202,11472.7212546,1,0.0249904111086
213,1102129003001959300101,23743.5448573,1,0.828596117898
214,1102129003001959300102,16261.3353434,1,0.828596117898
220,1831706402602089300106,51959.7882906,1,0.916419430879
227,2051200120313750301101,21011.4991889,1,0.916419430879
236,9323860629095789300101,23693.6634605,1,0.784129153487
237,2789326090653899300101,20848.3454537,1,0.828596117898
239,5027083929966839300101,23070.146001,1,0.828596117898
240,5027083929966839300102,25364.6902519,1,0.828596117898
241,0203100761868920301101,6334.93738839,1,0.0187142241225
242,0203100761868920301102,15524.5455455,1,0.931366378788
244,2209350703217199300101,12719.7561735,1,0.139126104123
251,7338618015902060301101,9714.40201881,1,0.985741640303
253,9018320011201200301101,17569.6828126,1,0.917446679831
259,3917380066208510301102,15538.0550904,1,0.0187142241225
271,2629921000123199200101,33420.5358285,1,0.988447778284
272,2629921000123199200102,12032.8477723,1,0.60994479917
300,5046057028419339300101,39905.1174072,1,0.828596117898
301,5046057028419339300102,9976.27935179,1,0.828596117898
302,9637945206262079300101,11522.6026513,1,0.968234638371
304,2694133040983299300101,51959.7882906,1,0.828596117898
305,2694133040983299300102,51959.7882906,1,0.968234638371
310,1203010469779149300102,17508.3702624,1,0.828596117898
314,0690237772025610301101,13804.676553,1,0.938033556877
316,6217350097207620301101,12470.3491897,1,0.828596117898
318,0203103935701150301101,12531.6617399,1,0.924717071413
319,0203103935701150301102,11223.3142708,1,0.0226723953184
322,0327511903015030301101,6559.4036738,1,0.924717071413
324,0070832202026010301101,10037.591902,1,0.0283491761936
325,0070832202026010301102,13778.6966589,1,0.975727417007
326,3227600008210020301101,8455.93594641,1,0.828596117898
327,3227600008210020301102,18705.5237846,1,0.828596117898
328,9052070333101150301101,15026.7707736,1,0.828596117898
329,9052070333101150301102,11447.7805562,1,0.828596117898
330,4233618017802010301101,19952.5587036,1,0.828596117898
331,4233618017802010301102,9041.00316256,1,0.828596117898
341,2033709100153510301101,11148.4921756,1,0.60994479917
353,9452670343008159200103,9976.27935179,1,0.908457470312
384,0609370634232299200101,7805.39939701,1,0.912074617524
385,0609370634232299200102,14252.5699281,1,0.912074617524
389,6700038382145409300101,10922.9866944,1,0.869692178993
393,2203064351472869300101,13006.5742049,1,0.814457792028
394,3943305966006429300101,11597.4247465,1,0.938033556877
395,9609330635240649300101,10924.0258902,1,0.938033556877
396,2614630050523299300101,24940.6983795,1,0.828596117898
398,3203064012655929300101,24614.390909,1,0.931366378788
399,3203064012655929300102,12320.7049995,1,0.828596117898
403,2036026529450139300101,16934.7341997,1,0.828596117898
411,8433045107062089300101,22234.6326053,1,0.828596117898
423,0366524306909439300101,4988.1396759,1,0.985741640303
432,1632001402512059300101,13492.9178233,1,0.916419430879
439,6322331001013050301104,11223.3142708,1,0.828596117898
442,3993502467107129300101,12782.1079195,1,0.918457253905
448,2051200160333310301101,24952.1295329,1,0.99487359439
454,4709350732211699300101,18867.6383241,1,0.828596117898
460,4938218015602060301101,10736.9706524,1,0.828596117898
461,4938218015602060301102,21260.9061727,1,0.828596117898
465,3991601030007329300101,10173.7265473,1,0.916419430879
468,0203100288966250311101,23485.8243073,1,0.828596117898
469,0203100288966250311102,14444.8211448,1,0.828596117898
470,0203101012655820301101,18705.5237846,1,0.828596117898
471,0203101012655820301102,11285.6660167,1,0.828596117898
477,3100032621130530301101,23943.0704443,1,0.931366378788
478,3100032621130530301102,7232.80253005,1,0.828596117898
483,3412806956810020301103,20389.0209252,1,0.961841567303
495,5326251001082010301101,14278.5498223,1,0.916419430879
496,5027052429971439300101,23505.5690269,1,0.988447778284
500,2417340017205510301101,7836.57526999,1,0.139126104123
508,2100026528150130301102,12931.7521098,1,0.931366378788
523,0630733122005410301101,11247.2157734,1,0.976788621227
524,3303502467110020301101,11047.6901863,1,0.832383562963
525,4713350032201600301101,10449.1134252,1,0.976788621227
526,1576220300314030301101,9638.5407279,1,0.832383562963
555,0563324300132009200101,1521.38260115,1,0.0259488835602
564,9030146803062019200101,13541.7600243,1,0.0414621953469
580,1052026813106490301101,17795.1882938,1,0.0414621953469
581,1052026813106490301103,17795.1882938,1,0.0187142241225
582,1052026813106490301102,17795.1882938,1,0.0187142241225
590,1366520300809030201101,10686.0500598,1,0.0256544190351
610,6110139262240009300101,12520.2305865,1,0.828596117898
618,1709350661248949300101,15961.0077671,1,0.615606347552
621,3203079735627839300101,11035.2198372,1,0.933071566424
622,7332762393008759300101,10037.591902,1,0.936451112252
623,2326570739083739300101,18066.4183886,1,0.936451112252
634,2609642030063099200108,8355.13395713,1,0.127606867864
635,2609642030063099200104,8355.13395713,1,0.127606867864
640,3991403257006129300101,13667.502712,1,0.968234638371
656,2180911060573019300101,26934.9150541,1,0.916419430879
657,2203079159831939300101,14389.7437692,1,0.916419430879
662,4203099159831939300101,19017.2825144,1,0.916419430879
666,2959841030133999300101,3702.65451359,1,0.828596117898
667,2959841030133999300102,13767.2655055,1,0.828596117898
672,3990507547407329300101,14215.1588805,1,0.218227268383
673,3452765093009749300101,12283.2939519,1,0.976788621227
679,3993007655409129300101,21199.5936226,1,0.916419430879
680,5222972493009559300101,5449.54259592,1,0.985741640303
682,6709340924230199300101,21498.8820031,1,0.985741640303
703,1432983593009199300101,8629.4816393,1,0.635600587659
736,9933793304662089300105,18705.5237846,1,0.985741640303
737,2664538020243399300101,15587.9364872,1,0.828596117898
739,2325320834094669300101,10037.591902,1,0.916419430879
742,9533846304262029300101,17519.8014158,1,0.917446679831
743,9533846304262029300102,11223.3142708,1,0.917446679831
744,5209360682233449300101,15955.8117883,1,0.828596117898
751,3997308946306329300104,18456.1168008,1,0.916419430879
760,3203064863522949300101,21199.5936226,1,0.828596117898
761,3203064863522949300102,11248.2549691,1,0.828596117898
762,1203079100037519300101,5672.96968557,1,0.616326539587
763,7231193104792059300101,36164.0126502,1,0.828596117898
771,2709011030713059300101,8168.07871928,1,0.585977605274
781,2203099100037719300101,20013.8712538,1,0.828596117898
782,2203099100037719300102,14515.4864569,1,0.828596117898
790,4029059029912639300101,20004.5184919,1,0.828596117898
794,6509300962238899300101,13641.5228178,1,0.96934458709
797,1409350723238599300101,6808.8106576,1,0.985741640303
801,4203099331443909300101,4426.97396236,1,0.832383562963
802,3492706993009139300101,17479.272781,1,0.828596117898
803,7520439832395109300201,23754.9760107,1,0.916419430879
804,7520439832395109300202,15025.7315779,1,0.916419430879
806,4324130349090939300101,21062.4197815,1,0.931366378788
809,3992503154807329300102,32422.9078933,1,0.0858979402638
824,2639146090333799300101,12694.8154752,1,0.120717044014
827,4203069637193939300101,23901.5026137,1,0.828596117898
828,4203069637193939300102,12886.0274961,1,0.828596117898
829,2634930010963099300101,16336.1574386,1,0.828596117898
830,2634930010963099300102,11348.0177627,1,0.828596117898
832,6036009129490339300102,12032.8477723,1,0.0249904111086
838,3990309961006129300102,10599.7968113,1,0.139126104123
839,3046071929936339300101,21511.3523523,1,0.828596117898
844,6040639072248809300101,18281.5319122,1,0.00294461562626
